"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"J2";"CUI_UJC-HP-3-SMT-TR";1;"UJC-HP-3-SMT-TR";;;
2;"U1";"WEMOS_D1_mini_light";1;"WeMos_D1_mini";;;
3;"R32,R17,R2,R1";"R_0805_2012Metric_Pad1.15x1.40mm_HandSolder";4;"10k";;;
4;"J1";"PinSocket_2x15_P2.54mm_Vertical";1;"Conn_02x15_Odd_Even";;;
5;"IC4,IC3,IC2,IC1";"DIP794W53P254L2540H508Q20N";4;"TPIC6B595N";;;
6;"C4,C3,C2,C1";"C_0805_2012Metric_Pad1.15x1.40mm_HandSolder";4;"0.1uF";;;
